区域,租房链接,房源名称,房屋基本信息,房屋来源,发布时间,房屋特点,最低价(元/月),最高价(元/月)
罗湖区,https://sz.zu.ke.com/apartment/7018.html,宅幸福公寓 东门店 湖景大复式,仅剩3间/50㎡/东南/1室1厅1卫,宅幸福公寓,3天前发布,"独栋公寓,近地铁,新上",6500,6500
罗湖区,https://sz.zu.ke.com/apartment/4210.html,窝趣轻社区 窝趣大望轻社区 品味马卡龙B 开间,25㎡/东/1室0厅1卫,窝趣轻社区,1天前发布,"独栋公寓,新上",2200,2450
罗湖区,https://sz.zu.ke.com/zufang/SZ2079729917670727680.html,大头岭 3室1厅 5700元,罗湖区-百仕达/86㎡/南/3室1厅1卫/中楼层（8层）,链家,8天前发布,近地铁,5700,5700
罗湖区,https://sz.zu.ke.com/apartment/6759.html,魔方公寓 深圳国贸店 一居室(舒适-阳光),40㎡/1室1厅1卫,魔方公寓,7天前发布,"独栋公寓,近地铁",3570,4410
罗湖区,https://sz.zu.ke.com/apartment/4210.html,窝趣轻社区 窝趣大望轻社区 格调北欧B 开间,25㎡/东/1室0厅1卫,窝趣轻社区,1天前发布,"独栋公寓,新上",1680,2700
罗湖区,https://sz.zu.ke.com/apartment/4210.html,窝趣轻社区 窝趣大望轻社区 自由工业B 开间,25㎡/东/1室0厅1卫,窝趣轻社区,1天前发布,"独栋公寓,新上",2100,2600
罗湖区,https://sz.zu.ke.com/apartment/6759.html,魔方公寓 深圳国贸店 一居室(舒适-典雅) 开间,25㎡/1室0厅1卫,魔方公寓,7天前发布,"独栋公寓,近地铁",2940,3150
罗湖区,https://sz.zu.ke.com/apartment/7018.html,宅幸福公寓 东门店 轻奢小单间,仅剩1间/28㎡/东南/1室1厅1卫,宅幸福公寓,3天前发布,"独栋公寓,近地铁,新上",3800,3800
罗湖区,https://sz.zu.ke.com/zufang/SZ2079591043435085824.html,整租 · 东方凤雅台 2室1厅 4200元,罗湖区-莲塘/64㎡/南/2室1厅1卫/低楼层（9层）,链家,8天前发布,,4200,4200
罗湖区,https://sz.zu.ke.com/apartment/1264.html,宅幸福公寓 水贝店 温馨复试小单间,30-35㎡/东南西南/1室1厅1卫,宅幸福公寓,3天前发布,"独栋公寓,近地铁,新上",3500,4300
罗湖区,https://sz.zu.ke.com/apartment/7018.html,宅幸福公寓 东门店 湖景小复式,28-30㎡/东南/1室1厅1卫,宅幸福公寓,3天前发布,"独栋公寓,近地铁,新上",4300,4300
罗湖区,https://sz.zu.ke.com/apartment/7018.html,宅幸福公寓 东门店 阳台小复式,仅剩2间/35㎡/东南/1室1厅1卫,宅幸福公寓,3天前发布,"独栋公寓,近地铁,新上",4700,4700
罗湖区,https://sz.zu.ke.com/apartment/4824.html,一期一会 罗湖春风店 阳光房 开间,25㎡/东南/1室0厅1卫,一期一会,6天前发布,"独栋公寓,近地铁,新上",3200,3200
罗湖区,https://sz.zu.ke.com/apartment/7018.html,宅幸福公寓 东门店 精美弧形房,仅剩1间/60㎡/东南/1室1厅1卫,宅幸福公寓,3天前发布,"独栋公寓,近地铁,新上",6500,6500
罗湖区,https://sz.zu.ke.com/apartment/4824.html,一期一会 罗湖春风店 独立阳台房 开间,25㎡/东南/1室0厅1卫,一期一会,6天前发布,"独栋公寓,近地铁,新上",3200,3200
罗湖区,https://sz.zu.ke.com/zufang/SZ2078640756721467392.html,精装三房一厅 近晒布、翠竹站，近螺岭外国语 适合居家,罗湖区-螺岭/87㎡/南/3室1厅1卫/低楼层（32层）,链家,9天前发布,近地铁,7500,7500
罗湖区,https://sz.zu.ke.com/apartment/7018.html,宅幸福公寓 东门店 精致大单间,仅剩3间/30㎡/东南/1室1厅1卫,宅幸福公寓,3天前发布,"独栋公寓,近地铁,新上",3800,3800
罗湖区,https://sz.zu.ke.com/apartment/4210.html,整租 窝趣轻社区 窝趣大望轻社区 品味马卡龙A 开间,25㎡/东/1室0厅1卫,窝趣轻社区,1个月前发布,独栋公寓,2200,2600
罗湖区,https://sz.zu.ke.com/apartment/4122.html,平台优选房东 创客坊公寓 小单间 开间,仅剩1间/18㎡/南/1室0厅1卫,平台优选房东,1天前发布,"独栋公寓,近地铁,新上",1800,1800
罗湖区,https://sz.zu.ke.com/apartment/1264.html,噼啪公寓 水贝店 精美小复式,30㎡/东南/1室1厅1卫,噼啪公寓,12天前发布,"独栋公寓,近地铁",4800,4800
罗湖区,https://sz.zu.ke.com/apartment/1264.html,噼啪公寓 水贝店 简约不简单（小复式）,30㎡/东北/1室1厅1卫,噼啪公寓,12天前发布,"独栋公寓,近地铁",3600,3600
罗湖区,https://sz.zu.ke.com/apartment/1264.html,宅幸福公寓 水贝店 色彩优雅舒适,30㎡/东/1室1厅1卫,宅幸福公寓,12天前发布,"独栋公寓,近地铁",4500,4500
罗湖区,https://sz.zu.ke.com/apartment/4210.html,整租 窝趣轻社区 窝趣大望轻社区 自由工业A 开间,25㎡/东/1室0厅1卫,窝趣轻社区,1个月前发布,独栋公寓,2100,2400
罗湖区,https://sz.zu.ke.com/zufang/SZ2084776559541501952.html,整租 · 三路地铁物业 精装一房一厅 拎包入住,罗湖区-地王/44㎡/东/1室1厅1卫/高楼层（32层）,链家,1天前发布,"近地铁,精装,新上",6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ2083694454124060672.html,鸿园居 2室1厅 5600元,罗湖区-百仕达/59㎡/南北/2室1厅1卫/高楼层（9层）,链家,2天前发布,"近地铁,新上,随时看房",5600,5600
罗湖区,https://sz.zu.ke.com/apartment/4210.html,整租 窝趣轻社区 窝趣大望轻社区 格调北欧A 开间,25㎡/东/1室0厅1卫,窝趣轻社区,1个月前发布,独栋公寓,1680,2350
罗湖区,https://sz.zu.ke.com/apartment/1264.html,噼啪公寓 水贝店 北欧风阳光大房 二居+,40㎡/西南/2室1厅1卫,噼啪公寓,12天前发布,"独栋公寓,近地铁",5500,5500
罗湖区,https://sz.zu.ke.com/zufang/SZ2081946217239019520.html,泰和花园 3室2厅 6000元,罗湖区-布心/89㎡/南北/3室2厅2卫/低楼层（7层）,链家,4天前发布,"近地铁,新上",6000,6000
罗湖区,https://sz.zu.ke.com/apartment/2480.html,碧家国际社区 东门店 温馨一居,仅剩3间/28㎡/南/1室1厅1卫,碧家国际社区,21天前发布,"独栋公寓,近地铁",4080,4080
罗湖区,https://sz.zu.ke.com/zufang/SZ2077242219873435648.html,幸福里精装大三房 家私家电齐全 拎包入住,罗湖区-万象城/142㎡/东/3室2厅2卫/低楼层（48层）,链家,11天前发布,近地铁,25000,25000
罗湖区,https://sz.zu.ke.com/apartment/2975.html,平台优选房东 步香闺公寓（罗湖店） 大床房 开间,仅剩2间/10㎡/东东南南西南西西北北东北/1室0厅0卫,平台优选房东,2个月前发布,"在线签约,独栋公寓,近地铁",2400,2400
罗湖区,https://sz.zu.ke.com/apartment/1313.html,上寓 翠竹店 家庭复式 二居+,仅剩3间/64-68㎡/东东南东北/2室1厅1卫,上寓,1个月前发布,"独栋公寓,近地铁",5500,5700
罗湖区,https://sz.zu.ke.com/zufang/SZ2070011480178434048.html,整租 · 鹏公馆 1室0厅,罗湖区-翠竹/36㎡/东北/1室0厅1卫/未知（29层）,平台认证机构,21天前发布,"近地铁,精装,免中介费,随时看房",8000,8000
罗湖区,https://sz.zu.ke.com/apartment/5875.html,平台认证机构 泥岗店 温馨大单房 开间,23-33㎡/南北/1室0厅1卫,平台认证机构,16天前发布,"独栋公寓,近地铁",3280,3780
罗湖区,https://sz.zu.ke.com/apartment/5875.html,平台认证机构 泥岗店 温馨一房一厅,32-36㎡/北/1室1厅1卫,平台认证机构,23天前发布,"独栋公寓,近地铁",3480,3880
罗湖区,https://sz.zu.ke.com/apartment/933.html,茧栈公寓 东门店 标准房A 开间,仅剩3间/36㎡/西北/1室0厅1卫,茧栈公寓,5个月前发布,"独栋公寓,近地铁",3980,3980
罗湖区,https://sz.zu.ke.com/zufang/SZ2063484059807383552.html,整租 · 翠榕花园 80平大三房，顶楼带大露台，靠山，居家必选,罗湖区-莲塘/81㎡/南/3室1厅1卫/高楼层（7层）,链家,1个月前发布,精装,5000,5000
罗湖区,https://sz.zu.ke.com/apartment/2004.html,WeWa创享域 深圳万象城店 两房一厅 二居+,仅剩1间/56㎡/东南西北/2室1厅1卫,WeWa创享域,3个月前发布,"独栋公寓,近地铁",6800,6800
罗湖区,https://sz.zu.ke.com/apartment/2480.html,碧家国际社区 东门店 现代居家一居室 开间,仅剩3间/28㎡/南/1室0厅1卫,碧家国际社区,3个月前发布,"独栋公寓,近地铁",4080,4080
罗湖区,https://sz.zu.ke.com/zufang/SZ2079685357124984832.html,旺业豪苑中装两房  拎包入住 儿童公园旁,罗湖区-东门/52㎡/北/2室1厅1卫/中楼层（33层）,链家,8天前发布,"近地铁,随时看房",4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2081653185931649024.html,交通便利  采光好  通风好  近口岸,罗湖区-黄贝岭/50㎡/东南/1室1厅1卫/高楼层（12层）,链家,5天前发布,"近地铁,新上,随时看房",4300,4300
罗湖区,https://sz.zu.ke.com/zufang/SZ2079695731559497728.html,京基东方华都 精装修 采光通风好 视野开阔 交通便利,罗湖区-螺岭/42㎡/西/1室1厅1卫/高楼层（32层）,链家,8天前发布,近地铁,4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2084795398559367168.html,新天地名居 1房1厅 39平 精装装修 东北 1室,罗湖区-黄贝岭/39㎡/东/1室1厅1卫/高楼层（31层）,链家,1天前发布,"近地铁,新上",4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2075070341314781184.html,锦花大厦 3室2厅 7000元,罗湖区-春风路/104㎡/南/3室2厅1卫/高楼层（24层）,链家,14天前发布,近地铁,7000,7000
罗湖区,https://sz.zu.ke.com/zufang/SZ2079565508168400896.html,汇鑫花园 花园式小区 2房1厅 拎包入住 近东门商圈,罗湖区-黄贝岭/55㎡/南/2室1厅1卫/高楼层（26层）,链家,8天前发布,"近地铁,随时看房",5500,5500
罗湖区,https://sz.zu.ke.com/zufang/SZ2083279164223528960.html,整租 · 华清园安业花园罗湖体育馆精装大一房一厅可拎包入住,罗湖区-新秀/45㎡/北/1室2厅1卫/低楼层（15层）,链家,3天前发布,"近地铁,精装,新上",3900,3900
罗湖区,https://sz.zu.ke.com/apartment/1338.html,星窝青年创业公寓 新秀店 单间 开间,仅剩2间/25㎡/南/1室0厅1卫,星窝青年创业公寓,4个月前发布,"独栋公寓,近地铁",2800,2800
罗湖区,https://sz.zu.ke.com/apartment/1746.html,本地共和社区 深运26 A 开间,仅剩5间/30㎡/南/1室0厅1卫,本地共和社区,3个月前发布,"独栋公寓,近地铁",3500,3800
罗湖区,https://sz.zu.ke.com/apartment/2004.html,WeWa创享域 深圳万象城店 单间 开间,18-25㎡/东东南南西南西北东北/1室0厅1卫,WeWa创享域,3个月前发布,"独栋公寓,近地铁",2650,3600
罗湖区,https://sz.zu.ke.com/apartment/2975.html,平台优选房东 步香闺公寓（罗湖店） 双床房 开间,仅剩1间/16㎡/东东南南西南西西北北东北/1室0厅1卫,平台优选房东,2个月前发布,"在线签约,独栋公寓,近地铁",3800,3800
罗湖区,https://sz.zu.ke.com/zufang/SZ2081890485240340480.html,阳光新干线家园 2室1厅 5600元,罗湖区-春风路/61㎡/南/2室1厅1卫/中楼层（33层）,链家,5天前发布,"近地铁,新上,随时看房",5600,5600
罗湖区,https://sz.zu.ke.com/zufang/SZ2081171469790093312.html,今日家园 3室1厅 5000元 复式,罗湖区-布心/73㎡/南/3室1厅1卫/低楼层（25层）,链家,6天前发布,"近地铁,新上",5000,5000
罗湖区,https://sz.zu.ke.com/zufang/SZ2085166634904846336.html,耀华楼 宽敞明亮 特大阳台 居家适宜 空三房！,罗湖区-东门/90㎡/东东南/3室1厅1卫/中楼层（7层）,链家,今天发布,"近地铁,新上",8500,8500
罗湖区,https://sz.zu.ke.com/apartment/1324.html,艾特公寓 桂园店 单身复式公寓 开间,仅剩1间/35㎡/南/1室0厅1卫,艾特公寓,27天前发布,"独栋公寓,近地铁",3500,3500
罗湖区,https://sz.zu.ke.com/zufang/SZ2084447473266597888.html,缤纷时代家园 环境优美 花园小区 正规两房 临地铁,罗湖区-螺岭/69㎡/东南/2室1厅1卫/高楼层（32层）,链家,1天前发布,"近地铁,新上,随时看房",8500,8500
